# operating on
# <a href=http://climexp.knmi.nl/select.cgi?field=era20c_t2m>climexp.knmi.nl/select.cgi?field=era20c_t2m</a>
# averaging anomalies over region lon=   -0.703  359.297, lat=  -89.622   89.622
# file :: ./data/iera20c_t2m_0-360E_-90-90N_n.dat
# description :: ERA-20C T2m 0-360E -90-90N
# minimal_valid_fraction ::  30.00
# olderfile :: ERA-20C/era20c_t2m.nc
# cdi :: Climate Data Interface version 1.6.5.1 (http://code.zmaw.de/projects/cdi)
# cdo :: Climate Data Operators version 1.6.5.1 (http://code.zmaw.de/projects/cdo)
# institution :: KNMI Climate Explorer
# ave_region :: lon=   -0.703  359.297, lat=  -89.622   89.622
# comment :: 
# history ::  2019-03-22 14:59:25 ./bin/plotdat anomal ./data/iera20c_t2m_0-360E_-90-90N_n.dat\n 2019-03-22 14:59:25 dat2nc ./data/iera20c_t2m_0-360E_-90-90N_n.dat i ERA-20C_T2m_0-360E_-90-90N ./data/iera20c_t2m_0-360E_-90-90N_n.nc n 2019-03-22 14:59:22 bin/get_index ERA-20C/era20c_t2m.nc 0 360 -90 90 dipole no minfac 30 nearest lsmask ERA-20C/lsmask64.nc all nomissing era20c_t2m_0-360E_-90-90N_n nMon Jun 01 13:03:47 2015: cdo settaxis,1900-01-01,0:00,1mon noot.nc era20c_t2m.nc nMon Jun 01 13:00:48 2015: cdo monmean era20c_t2m_daily.nc noot.nc nMon Jun 01 12:49:21 2015: cdo -r -R -b 32 -f nc4 -z zip copy t2m1900.nc t2m1901.nc t2m1902.nc t2m1903.nc t2m1904.nc t2m1905.nc t2m1906.nc t2m1907.nc t2m1908.nc t2m1909.nc t2m1910.nc t2m1911.nc t2m1912.nc t2m1913.nc t2m1914.nc t2m1915.nc t2m1916.nc t2m1917.nc t2m1918.nc t2m1919.nc t2m1920.nc t2m1921.nc t2m1922.nc t2m1923.nc t2m1924.nc t2m1925.nc t2m1926.nc t2m1927.nc t2m1928.nc t2m1929.nc t2m1930.nc t2m1931.nc t2m1932.nc t2m1933.nc t2m1934.nc t2m1935.nc t2m1936.nc t2m1937.nc t2m1938.nc t2m1939.nc t2m1940.nc t2m1941.nc t2m1942.nc t2m1943.nc t2m1944.nc t2m1945.nc t2m1946.nc t2m1947.nc t2m1948.nc t2m1949.nc t2m1950.nc t2m1951.nc t2m1952.nc t2m1953.nc t2m1954.nc t2m1955.nc t2m1956.nc t2m1957.nc t2m1958.nc t2m1959.nc t2m1960.nc t2m1961.nc t2m1962.nc t2m1963.nc t2m1964.nc t2m1965.nc t2m1966.nc t2m1967.nc t2m1968.nc t2m1969.nc t2m1970.nc t2m1971.nc t2m1972.nc t2m1973.nc t2m1974.nc t2m1975.nc t2m1976.nc t2m1977.nc t2m1978.nc t2m1979.nc t2m1980.nc t2m1981.nc t2m1982.nc t2m1983.nc t2m1984.nc t2m1985.nc t2m1986.nc t2m1987.nc t2m1988.nc nMon Jun 01 12:06:29 2015: cdo -r -R -b 32 -f nc4 -z zip -settaxis,1900-01-01,12:00,1day t2m1900.nc aap.nc nMon Jun 01 12:06:23 2015: cdo -r -R -b 32 -f nc4 -z zip shifttime,-6hour noot.nc t2m1900.nc nMon Jun 01 12:06:17 2015: cdo -r -R -b 32 -f nc4 -z zip setname,t2m aap.nc noot.nc nMon Jun 01 12:06:11 2015: cdo -r -R -b 32 -f nc4 -z zip daymean t2m1900.grib aap.nc n2015-05-08 11:41:49 GMT by grib_to_netcdf-1.13.1: grib_to_netcdf /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-fLutek.target -o /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-wrIc5u.nc -utime
# t2m [K] 2 metre temperature
 1911.0000 -0.559692    
 1911.0834 -0.787262    
 1911.1666 -0.488342    
 1911.2500 -0.641937    
 1911.3334 -0.606445    
 1911.4166 -0.523468    
 1911.5000 -0.505402    
 1911.5834 -0.624878    
 1911.6666 -0.504669    
 1911.7500 -0.348114    
 1911.8334 -0.388245    
 1911.9166 -0.338196    
 1912.0000 -0.388000    
 1912.0834 -0.972595E-01
 1912.1666 -0.346344    
 1912.2500 -0.218414    
 1912.3334 -0.243866    
 1912.4166 -0.342346    
 1912.5000 -0.324799    
 1912.5834 -0.776978    
 1912.6666 -0.512360    
 1912.7500 -0.470398    
 1912.8334 -0.290771    
 1912.9166 -0.392181    
 1913.0000 -0.562195    
 1913.0834 -0.279266    
 1913.1666 -0.228271    
 1913.2500 -0.397125    
 1913.3334 -0.398651    
 1913.4166 -0.626648    
 1913.5000 -0.629181    
 1913.5834 -0.459076    
 1913.6666 -0.574371    
 1913.7500 -0.527893    
 1913.8334 -0.330475    
 1913.9166 -0.262390    
 1914.0000 -0.154510    
 1914.0834 -0.102478    
 1914.1666 -0.369446    
 1914.2500 -0.307922    
 1914.3334 -0.214050    
 1914.4166 -0.162567    
 1914.5000 -0.177399    
 1914.5834 -0.752869E-01
 1914.6666 -0.208771    
 1914.7500  0.310974E-01
 1914.8334 -0.180359    
 1914.9166 -0.243195    
 1915.0000 -0.380310    
 1915.0834 -0.220642E-01
 1915.1666 -0.706482E-01
 1915.2500  0.752869E-01
 1915.3334  0.170837    
 1915.4166  0.763550E-01
 1915.5000 -0.298767E-01
 1915.5834  0.762939E-02
 1915.6666 -0.503540E-01
 1915.7500 -0.765991E-01
 1915.8334 -0.528564E-01
 1915.9166 -0.220306    
 1916.0000 -0.220703    
 1916.0834 -0.238953    
 1916.1666 -0.153656    
 1916.2500 -0.130127    
 1916.3334 -0.206665    
 1916.4166 -0.408356    
 1916.5000 -0.372375    
 1916.5834 -0.320160    
 1916.6666 -0.381042    
 1916.7500 -0.349792    
 1916.8334 -0.432465    
 1916.9166 -0.465881    
 1917.0000 -0.589600    
 1917.0834 -0.509583    
 1917.1666 -0.650970    
 1917.2500 -0.555939    
 1917.3334 -0.470764    
 1917.4166 -0.240265    
 1917.5000 -0.185486    
 1917.5834 -0.181885    
 1917.6666 -0.231842    
 1917.7500 -0.230103    
 1917.8334 -0.258270    
 1917.9166 -0.476379    
 1918.0000 -0.314911    
 1918.0834 -0.262268    
 1918.1666 -0.239044    
 1918.2500 -0.403137    
 1918.3334 -0.229767    
 1918.4166 -0.265259    
 1918.5000 -0.276978    
 1918.5834 -0.338165    
 1918.6666 -0.364044    
 1918.7500 -0.121796    
 1918.8334 -0.621643E-01
 1918.9166 -0.333679    
 1919.0000 -0.206085    
 1919.0834  0.139465E-01
 1919.1666  0.420532E-01
 1919.2500  0.501709E-01
 1919.3334 -0.240845    
 1919.4166 -0.303345    
 1919.5000 -0.179779    
 1919.5834 -0.199982    
 1919.6666 -0.276764    
 1919.7500 -0.133514    
 1919.8334 -0.464355    
 1919.9166 -0.527893    
 1920.0000 -0.246704    
 1920.0834 -0.280457    
 1920.1666  0.103729    
 1920.2500 -0.631104E-01
 1920.3334 -0.437622E-01
 1920.4166  0.375366E-02
 1920.5000 -0.387878E-01
 1920.5834 -0.107758    
 1920.6666 -0.305054    
 1920.7500 -0.209015    
 1920.8334 -0.178772    
 1920.9166 -0.393982    
 1921.0000 -0.431824E-01
 1921.0834 -0.162964    
 1921.1666 -0.284668    
 1921.2500 -0.210022    
 1921.3334 -0.343628E-01
 1921.4166 -0.128052    
 1921.5000 -0.165802    
 1921.5834 -0.390961    
 1921.6666 -0.245056    
 1921.7500 -0.939941E-01
 1921.8334 -0.241760    
 1921.9166 -0.196289    
 1922.0000 -0.320190    
 1922.0834 -0.230865    
 1922.1666 -0.175171    
 1922.2500  0.632629E-01
 1922.3334 -0.260956    
 1922.4166 -0.170471    
 1922.5000 -0.269775    
 1922.5834 -0.284058    
 1922.6666 -0.563843    
 1922.7500 -0.303101    
 1922.8334 -0.243652    
 1922.9166 -0.284698    
 1923.0000 -0.231903    
 1923.0834 -0.169678    
 1923.1666 -0.175842    
 1923.2500 -0.261108    
 1923.3334 -0.236145    
 1923.4166 -0.310059    
 1923.5000 -0.416290    
 1923.5834 -0.420074    
 1923.6666 -0.424561    
 1923.7500 -0.261719    
 1923.8334 -0.684509E-01
 1923.9166 -0.117981    
 1924.0000 -0.106110    
 1924.0834 -0.265564    
 1924.1666  0.896301E-01
 1924.2500 -0.111023    
 1924.3334 -0.247070    
 1924.4166 -0.202057    
 1924.5000 -0.263885    
 1924.5834 -0.144379    
 1924.6666 -0.348267    
 1924.7500 -0.410217    
 1924.8334 -0.181671    
 1924.9166 -0.382599    
 1925.0000 -0.370392    
 1925.0834 -0.360870    
 1925.1666 -0.144348    
 1925.2500 -0.315735    
 1925.3334 -0.325562    
 1925.4166 -0.279572    
 1925.5000 -0.292999    
 1925.5834 -0.224579    
 1925.6666 -0.138367    
 1925.7500 -0.760193E-01
 1925.8334  0.442505E-02
 1925.9166 -0.427856E-01
 1926.0000  0.873108E-01
 1926.0834  0.287476E-01
 1926.1666  0.244354    
 1926.2500  0.109680    
 1926.3334 -0.762634E-01
 1926.4166 -0.170593E-01
 1926.5000 -0.697021E-01
 1926.5834 -0.110168    
 1926.6666 -0.136871    
 1926.7500 -0.107300    
 1926.8334 -0.194366    
 1926.9166 -0.288605    
 1927.0000 -0.395905    
 1927.0834 -0.162872    
 1927.1666 -0.402771    
 1927.2500 -0.366425    
 1927.3334 -0.233948    
 1927.4166 -0.346466    
 1927.5000 -0.256195    
 1927.5834 -0.164795E-01
 1927.6666 -0.193542    
 1927.7500 -0.112610    
 1927.8334 -0.675659E-01
 1927.9166 -0.220490    
 1928.0000 -0.445862E-01
 1928.0834 -0.648804E-01
 1928.1666 -0.209167    
 1928.2500 -0.241821    
 1928.3334 -0.209869    
 1928.4166 -0.186371    
 1928.5000 -0.979919E-01
 1928.5834 -0.138885    
 1928.6666 -0.178253    
 1928.7500 -0.147095    
 1928.8334 -0.159973    
 1928.9166 -0.207184    
 1929.0000 -0.262390    
 1929.0834 -0.441772    
 1929.1666 -0.347443    
 1929.2500 -0.338837    
 1929.3334 -0.317261    
 1929.4166 -0.393646    
 1929.5000 -0.383698    
 1929.5834 -0.375763    
 1929.6666 -0.532257    
 1929.7500 -0.357208    
 1929.8334 -0.285370    
 1929.9166 -0.472992    
 1930.0000 -0.151062E-01
 1930.0834 -0.146881    
 1930.1666 -0.648499E-01
 1930.2500 -0.974121E-01
 1930.3334 -0.140045    
 1930.4166 -0.211273    
 1930.5000 -0.576782E-01
 1930.5834 -0.737610E-01
 1930.6666 -0.154572    
 1930.7500  0.808716E-02
 1930.8334  0.697327E-01
 1930.9166  0.103821    
 1931.0000  0.142609    
 1931.0834  0.100433    
 1931.1666 -0.509644E-01
 1931.2500  0.114685    
 1931.3334  0.564270E-01
 1931.4166  0.274658E-02
 1931.5000  0.123199    
 1931.5834 -0.359802E-01
 1931.6666  0.343323E-01
 1931.7500 -0.189209E-02
 1931.8334 -0.333557E-01
 1931.9166 -0.175690    
 1932.0000  0.100098E-01
 1932.0834 -0.127258    
 1932.1666 -0.102448    
 1932.2500 -0.943298E-01
 1932.3334 -0.254669    
 1932.4166 -0.226349    
 1932.5000 -0.242981    
 1932.5834 -0.180878    
 1932.6666 -0.431519E-01
 1932.7500 -0.134613    
 1932.8334 -0.367462    
 1932.9166 -0.267303    
 1933.0000 -0.329712    
 1933.0834 -0.105774    
 1933.1666 -0.329651    
 1933.2500 -0.181824    
 1933.3334 -0.186462    
 1933.4166 -0.265167    
 1933.5000 -0.320801    
 1933.5834 -0.317657    
 1933.6666 -0.448456    
 1933.7500 -0.226501    
 1933.8334 -0.290070    
 1933.9166 -0.444092    
 1934.0000 -0.429901    
 1934.0834 -0.608826E-01
 1934.1666 -0.419952    
 1934.2500 -0.268433    
 1934.3334 -0.197052    
 1934.4166 -0.160065    
 1934.5000 -0.253784    
 1934.5834 -0.251373    
 1934.6666 -0.321350    
 1934.7500 -0.132721    
 1934.8334 -0.103668    
 1934.9166 -0.117004    
 1935.0000 -0.419189    
 1935.0834  0.865479E-01
 1935.1666 -0.237152    
 1935.2500 -0.416412    
 1935.3334 -0.183472    
 1935.4166 -0.309967    
 1935.5000 -0.236481    
 1935.5834 -0.289063    
 1935.6666 -0.278259    
 1935.7500 -0.141602    
 1935.8334 -0.318665    
 1935.9166 -0.172791    
 1936.0000 -0.341003    
 1936.0834 -0.144379    
 1936.1666 -0.291870    
 1936.2500 -0.215729    
 1936.3334 -0.197266    
 1936.4166 -0.950623E-01
 1936.5000 -0.621033E-01
 1936.5834 -0.199768    
 1936.6666 -0.181671    
 1936.7500 -0.147095E-01
 1936.8334 -0.942688E-01
 1936.9166 -0.280762E-02
 1937.0000 -0.155609    
 1937.0834 -0.326538E-02
 1937.1666 -0.329071    
 1937.2500 -0.250122    
 1937.3334 -0.112274    
 1937.4166 -0.136719E-01
 1937.5000 -0.817871E-01
 1937.5834 -0.154724E-01
 1937.6666  0.463562E-01
 1937.7500 -0.209961E-01
 1937.8334 -0.114471    
 1937.9166 -0.212006    
 1938.0000  0.555115E-01
 1938.0834  0.103119    
 1938.1666 -0.508423E-01
 1938.2500 -0.381165E-01
 1938.3334 -0.168854    
 1938.4166 -0.283752    
 1938.5000 -0.277191    
 1938.5834 -0.179169    
 1938.6666 -0.188599E-01
 1938.7500 -0.917053E-01
 1938.8334 -0.150665    
 1938.9166 -0.276001    
 1939.0000 -0.181610    
 1939.0834 -0.470581E-01
 1939.1666 -0.342743    
 1939.2500 -0.262115    
 1939.3334 -0.265350    
 1939.4166 -0.243561    
 1939.5000 -0.165497    
 1939.5834  0.681152E-01
 1939.6666  0.376282E-01
 1939.7500 -0.154907    
 1939.8334 -0.275574    
 1939.9166  0.164703    
 1940.0000 -0.160004    
 1940.0834  0.229187E-01
 1940.1666  0.731506E-01
 1940.2500  0.150391    
 1940.3334  0.170227    
 1940.4166  0.632324E-01
 1940.5000  0.238098    
 1940.5834  0.123840    
 1940.6666  0.678406E-01
 1940.7500  0.753784E-01
 1940.8334  0.540466E-01
