# operating on
# <a href=http://climexp.knmi.nl/select.cgi?field=era20c_t2m>climexp.knmi.nl/select.cgi?field=era20c_t2m</a>
# averaging anomalies over region lon=   -0.703  359.297, lat=  -89.622    0.000
# file :: ./data/iera20c_t2m_0-360E_-90-0N_n.dat
# description :: ERA-20C T2m 0-360E -90-0N
# minimal_valid_fraction ::  30.00
# olderfile :: ERA-20C/era20c_t2m.nc
# cdi :: Climate Data Interface version 1.6.5.1 (http://code.zmaw.de/projects/cdi)
# cdo :: Climate Data Operators version 1.6.5.1 (http://code.zmaw.de/projects/cdo)
# institution :: KNMI Climate Explorer
# ave_region :: lon=   -0.703  359.297, lat=  -89.622    0.000
# comment :: 
# history ::  2019-03-22 22:08:12 ./bin/plotdat anomal ./data/iera20c_t2m_0-360E_-90-0N_n.dat\n 2019-03-22 22:08:11 dat2nc ./data/iera20c_t2m_0-360E_-90-0N_n.dat i ERA-20C_T2m_0-360E_-90-0N ./data/iera20c_t2m_0-360E_-90-0N_n.nc n 2019-03-22 22:08:10 bin/get_index ERA-20C/era20c_t2m.nc 0 360 -90 0 dipole no minfac 30 nearest lsmask ERA-20C/lsmask64.nc all nomissing era20c_t2m_0-360E_-90-0N_n nMon Jun 01 13:03:47 2015: cdo settaxis,1900-01-01,0:00,1mon noot.nc era20c_t2m.nc nMon Jun 01 13:00:48 2015: cdo monmean era20c_t2m_daily.nc noot.nc nMon Jun 01 12:49:21 2015: cdo -r -R -b 32 -f nc4 -z zip copy t2m1900.nc t2m1901.nc t2m1902.nc t2m1903.nc t2m1904.nc t2m1905.nc t2m1906.nc t2m1907.nc t2m1908.nc t2m1909.nc t2m1910.nc t2m1911.nc t2m1912.nc t2m1913.nc t2m1914.nc t2m1915.nc t2m1916.nc t2m1917.nc t2m1918.nc t2m1919.nc t2m1920.nc t2m1921.nc t2m1922.nc t2m1923.nc t2m1924.nc t2m1925.nc t2m1926.nc t2m1927.nc t2m1928.nc t2m1929.nc t2m1930.nc t2m1931.nc t2m1932.nc t2m1933.nc t2m1934.nc t2m1935.nc t2m1936.nc t2m1937.nc t2m1938.nc t2m1939.nc t2m1940.nc t2m1941.nc t2m1942.nc t2m1943.nc t2m1944.nc t2m1945.nc t2m1946.nc t2m1947.nc t2m1948.nc t2m1949.nc t2m1950.nc t2m1951.nc t2m1952.nc t2m1953.nc t2m1954.nc t2m1955.nc t2m1956.nc t2m1957.nc t2m1958.nc t2m1959.nc t2m1960.nc t2m1961.nc t2m1962.nc t2m1963.nc t2m1964.nc t2m1965.nc t2m1966.nc t2m1967.nc t2m1968.nc t2m1969.nc t2m1970.nc t2m1971.nc t2m1972.nc t2m1973.nc t2m1974.nc t2m1975.nc t2m1976.nc t2m1977.nc t2m1978.nc t2m1979.nc t2m1980.nc t2m1981.nc t2m1982.nc t2m1983.nc t2m1984.nc t2m1985.nc t2m1986.nc t2m1987.nc t2m1988.nc nMon Jun 01 12:06:29 2015: cdo -r -R -b 32 -f nc4 -z zip -settaxis,1900-01-01,12:00,1day t2m1900.nc aap.nc nMon Jun 01 12:06:23 2015: cdo -r -R -b 32 -f nc4 -z zip shifttime,-6hour noot.nc t2m1900.nc nMon Jun 01 12:06:17 2015: cdo -r -R -b 32 -f nc4 -z zip setname,t2m aap.nc noot.nc nMon Jun 01 12:06:11 2015: cdo -r -R -b 32 -f nc4 -z zip daymean t2m1900.grib aap.nc n2015-05-08 11:41:49 GMT by grib_to_netcdf-1.13.1: grib_to_netcdf /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-fLutek.target -o /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-wrIc5u.nc -utime
# t2m [K] 2 metre temperature
 1910.9166 -0.487152    
 1911.0000 -0.317902    
 1911.0834 -0.490845    
 1911.1666 -0.578339    
 1911.2500 -0.862152    
 1911.3334 -0.685364    
 1911.4166 -0.534637    
 1911.5000 -0.432953    
 1911.5834 -0.762604    
 1911.6666 -0.619415    
 1911.7500 -0.299347    
 1911.8334 -0.233063    
 1911.9166 -0.140533    
 1912.0000 -0.135010    
 1912.0834 -0.235748    
 1912.1666 -0.144958    
 1912.2500 -0.458435    
 1912.3334 -0.547546    
 1912.4166 -0.649811    
 1912.5000 -0.323456    
 1912.5834 -0.848724    
 1912.6666 -0.435028    
 1912.7500 -0.194733    
 1912.8334 -0.180054    
 1912.9166 -0.145538    
 1913.0000 -0.274597    
 1913.0834 -0.159546    
 1913.1666 -0.305359    
 1913.2500 -0.479736    
 1913.3334 -0.481049    
 1913.4166 -0.654114    
 1913.5000 -0.701263    
 1913.5834 -0.403503    
 1913.6666 -0.659210    
 1913.7500 -0.571533    
 1913.8334 -0.200348    
 1913.9166 -0.291962    
 1914.0000 -0.180420    
 1914.0834 -0.567322E-01
 1914.1666 -0.297150    
 1914.2500 -0.457245    
 1914.3334 -0.324249    
 1914.4166 -0.218414    
 1914.5000 -0.334473    
 1914.5834 -0.122620    
 1914.6666 -0.321014    
 1914.7500 -0.508423E-01
 1914.8334 -0.116058    
 1914.9166 -0.252441    
 1915.0000 -0.149292    
 1915.0834  0.508728E-01
 1915.1666  0.331421E-01
 1915.2500 -0.508423E-01
 1915.3334  0.968323E-01
 1915.4166 -0.155334    
 1915.5000 -0.161377    
 1915.5834 -0.107422    
 1915.6666 -0.148224    
 1915.7500 -0.189240    
 1915.8334 -0.304260    
 1915.9166 -0.319244    
 1916.0000 -0.361816    
 1916.0834 -0.155640    
 1916.1666 -0.198242    
 1916.2500 -0.173431    
 1916.3334 -0.418365    
 1916.4166 -0.578735    
 1916.5000 -0.491150    
 1916.5834 -0.402618    
 1916.6666 -0.486115    
 1916.7500 -0.394043    
 1916.8334 -0.373840    
 1916.9166 -0.373444    
 1917.0000 -0.579193    
 1917.0834 -0.599640    
 1917.1666 -0.600433    
 1917.2500 -0.699951    
 1917.3334 -0.633667    
 1917.4166 -0.314514    
 1917.5000 -0.238678    
 1917.5834 -0.288910    
 1917.6666 -0.242615    
 1917.7500 -0.122742    
 1917.8334 -0.264465    
 1917.9166 -0.397339    
 1918.0000 -0.539612    
 1918.0834 -0.539734    
 1918.1666 -0.573242    
 1918.2500 -0.562042    
 1918.3334 -0.367859    
 1918.4166 -0.302429    
 1918.5000 -0.332764    
 1918.5834 -0.376221    
 1918.6666 -0.535126    
 1918.7500 -0.215637    
 1918.8334  0.280457E-01
 1918.9166 -0.184845    
 1919.0000 -0.147095E-01
 1919.0834 -0.696411E-01
 1919.1666 -0.210938    
 1919.2500 -0.144653    
 1919.3334 -0.385773    
 1919.4166 -0.651123    
 1919.5000 -0.300262    
 1919.5834 -0.214203    
 1919.6666 -0.432434    
 1919.7500 -0.275452    
 1919.8334 -0.349365    
 1919.9166 -0.385254    
 1920.0000 -0.300293    
 1920.0834 -0.209137    
 1920.1666 -0.319519E-01
 1920.2500 -0.300232    
 1920.3334 -0.244873    
 1920.4166 -0.301209E-01
 1920.5000 -0.110474    
 1920.5834 -0.541992E-01
 1920.6666 -0.208221    
 1920.7500 -0.258240    
 1920.8334 -0.287964    
 1920.9166 -0.204651    
 1921.0000 -0.209320    
 1921.0834 -0.317322    
 1921.1666 -0.390747    
 1921.2500 -0.471741    
 1921.3334 -0.242554    
 1921.4166 -0.323914    
 1921.5000 -0.394775    
 1921.5834 -0.647522    
 1921.6666 -0.248108    
 1921.7500 -0.220642    
 1921.8334 -0.295441    
